Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
89,6138,species,Common Redshank,Tringa totanus,5,Úlfljótsvatn--skátabúðir (Scout Centre),IS-8,22 Jul 2019,L9729626,S58674558,,1
90,5812,species,European Golden-Plover,Pluvialis apricaria,2,Úlfljótsvatn--skátabúðir (Scout Centre),IS-8,22 Jul 2019,L9729626,S58674558,,1
92,7397,species,Great Cormorant,Phalacrocorax carbo,2,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
93,7333,species,Northern Gannet,Morus bassanus,,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
94,7220,species,Manx Shearwater,Puffinus puffinus,,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
95,7046,species,European Storm-Petrel,Hydrobates pelagicus,4,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
96,6449,species,Black-legged Kittiwake,Rissa tridactyla,,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
97,6424,species,Common Murre,Uria aalge,3,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
98,6379,species,Atlantic Puffin,Fratercula arctica,,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
99,6361,species,Parasitic Jaeger,Stercorarius parasiticus,2,Faxaflói (Reykjavík whalewatching pelagics),IS-1,17 Jul 2019,L3893734,S58674225,,1
100,7090,species,Northern Fulmar,Fulmarus glacialis,4,Reykjavíkurhöfn (harbour),IS-1,17 Jul 2019,L1104110,S58674293,,1
101,715,species,Common Eider,Somateria mollissima,8,Reykjavíkurhöfn (harbour),IS-1,17 Jul 2019,L1104110,S58674293,,1
102,31853,species,Meadow Pipit,Anthus pratensis,3,Reykjavík--Vatnsmýrin,IS-1,16 Jul 2019,L1309348,S58669492,,1
103,27813,species,European Starling,Sturnus vulgaris,3,Reykjavík--Vatnsmýrin,IS-1,16 Jul 2019,L1309348,S58669492,,1
104,6121,species,Red-necked Phalarope,Phalaropus lobatus,1,Reykjavík--Vatnsmýrin,IS-1,16 Jul 2019,L1309348,S58669492,,1
105,6099,species,Common Snipe,Gallinago gallinago,1,Reykjavík--Vatnsmýrin,IS-1,16 Jul 2019,L1309348,S58669492,,1
106,5831,species,Common Ringed Plover,Charadrius hiaticula,3,Reykjavík--Vatnsmýrin,IS-1,16 Jul 2019,L1309348,S58669492,,1
107,31720,species,White Wagtail,Motacilla alba,3,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
108,28497,species,Redwing,Turdus iliacus,5,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
109,6733,species,Arctic Tern,Sterna paradisaea,,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
110,6545,species,European Herring Gull,Larus argentatus,1,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
111,6474,species,Black-headed Gull,Chroicocephalus ridibundus,,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
112,1853,species,Rock Pigeon,Columba livia,7,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
113,687,species,Tufted Duck,Aythya fuligula,15,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
114,390,species,Whooper Swan,Cygnus cygnus,1,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
115,275,species,Graylag Goose,Anser anser,30,Reykjavík--Tjörnin pond,IS-1,16 Jul 2019,L1025679,S58669465,,1
116,3492,species,Common Nighthawk,Chordeiles minor,1,The Diamond,US-VA,17 May 2019,L4624463,S56426694,,1
119,3614,species,Eastern Whip-poor-will,Antrostomus vociferus,6,Sherando Lake,US-VA,25 Jun 2018,L718730,S46889585,,1
120,34061,species,Cerulean Warbler,Setophaga cerulea,11,Peaks of Otter Recreation Area,US-VA,20 Jun 2018,L718653,S46890157,,1
121,34346,species,Wilson's Warbler,Cardellina pusilla,2,Echo Lake Park,US-VA,12 May 2018,L246152,S45610294,,1
122,11145,species,Red-headed Woodpecker,Melanerpes erythrocephalus,3,Deep Run Park,US-VA,09 May 2018,L246147,S45610384,,1
123,34060,species,Cape May Warbler,Setophaga tigrina,1,Cheswick Park,US-VA,08 May 2018,L2823311,S45471071,,1
124,331,species,Cackling Goose,Branta hutchinsii,7,Swan Lake/Shields Lake,US-VA,17 Dec 2017,L2182364,S41156218,,1
125,700,species,Lesser Scaup,Aythya affinis,2,Sleep Inn Ponds,US-VA,05 Dec 2017,L4280384,S40928253,,1
126,314,species,Brant,Branta bernicla,1,Walmart Ponds (Colonial Heights),US-VA,05 Dec 2017,L736979,S40923976,,1
128,8866,species,Eastern Screech-Owl,Megascops asio,2,Great Dismal Swamp NWR--Lake Drummond,US-VA,23 Sep 2017,L771078,S39393629,,1
129,16949,species,Yellow-bellied Flycatcher,Empidonax flaviventris,1,Powhatan State Park,US-VA,11 Sep 2017,L1085755,S39131742,,1
130,3896,species,Chimney Swift,Chaetura pelagica,9,Echo Lake Corner 1,US-VA,05 Aug 2017,L4556911,S38486816,,1
131,1026,species,Northern Bobwhite,Colinus virginianus,1,Powhatan State Park,US-VA,28 Jun 2017,L1085755,S37867507,,1
132,33559,species,Yellow-breasted Chat,Icteria virens,2,Back Bay NWR--Boardwalk,US-VA,20 Jun 2017,L2054871,S37707892,,1
133,17494,species,Fork-tailed Flycatcher,Tyrannus savana,1,Back Bay NWR--Boardwalk,US-VA,20 Jun 2017,L2054871,S37707892,,1
134,7565,species,Least Bittern,Botaurus exilis,2,Back Bay NWR--Boardwalk,US-VA,20 Jun 2017,L2054871,S37707892,,1
135,34079,species,Magnolia Warbler,Setophaga magnolia,1,Grayson Highlands State Park Twin Pinnacles Trail,US-VA,28 May 2017,L5907662,S37448143,,1
136,16963,species,Least Flycatcher,Empidonax minimus,1,Grayson Highlands Hickory Ridge Campground Group Site,US-VA,27 May 2017,L5907562,S37448658,,1
137,34344,species,Canada Warbler,Cardellina canadensis,1,Dutch Gap Conservation Area/Henricus Historical Park,US-VA,16 May 2017,L207180,S36969426,,1
138,33568,species,Eastern Meadowlark,Sturnella magna,1,Dutch Gap Conservation Area/Henricus Historical Park,US-VA,16 May 2017,L207180,S36969426,,1
139,5671,species,Limpkin,Aramus guarauna,5,Lettuce Lake County Park,US-FL,17 Apr 2017,L127337,S36091358,,1
140,6192,species,Dunlin,Calidris alpina,,Ben T. Davis Beach,US-FL,17 Apr 2017,L451062,S36067867,,1
141,6166,species,Red Knot,Calidris canutus,,Ben T. Davis Beach,US-FL,17 Apr 2017,L451062,S36067867,,1
142,5799,species,American Oystercatcher,Haematopus palliatus,2,Ben T. Davis Beach,US-FL,17 Apr 2017,L451062,S36067867,,1
143,6104,species,Wilson's Snipe,Gallinago delicata,1,Possum Branch Preserve,US-FL,17 Apr 2017,L1015140,S36068194,,1
145,7306,species,Wood Stork,Mycteria americana,20,Embassy Drive Rookery,US-FL,14 Apr 2017,L2617326,S36023113,,1
146,34057,species,Hooded Warbler,Setophaga citrina,1,Dunedin Hammock City Park,US-FL,13 Apr 2017,L127326,S35935977,,1
147,33950,species,Worm-eating Warbler,Helmitheros vermivorum,1,Dunedin Hammock City Park,US-FL,13 Apr 2017,L127326,S35935977,,1
148,19226,species,Blue-headed Vireo,Vireo solitarius,1,Dunedin Hammock City Park,US-FL,13 Apr 2017,L127326,S35935977,,1
149,12819,species,Monk Parakeet,Myiopsitta monachus,2,Dunedin Hammock City Park,US-FL,13 Apr 2017,L127326,S35935977,N,1
150,7600,species,Black-crowned Night Heron,Nycticorax nycticorax,1,Gulf Harbors Golf Course (NOW CLOSED),US-FL,12 Apr 2017,L1516961,S35911078,,1
151,27329,species,Marsh Wren,Cistothorus palustris,2,Boy Scout Preserve (Green Key Rd),US-FL,12 Apr 2017,L1427496,S35910741,,1
152,5276,species,Clapper Rail,Rallus crepitans,1,Boy Scout Preserve (Green Key Rd),US-FL,12 Apr 2017,L1427496,S35910741,,1
153,2389,species,White-winged Dove,Zenaida asiatica,1,Robert K. Rees Memorial Park,US-FL,11 Apr 2017,L127314,S35892128,,1
154,34432,species,Summer Tanager,Piranga rubra,1,Aripeka Sandhills Preserve,US-FL,11 Apr 2017,L1011494,S35882699,,1
155,19220,species,Yellow-throated Vireo,Vireo flavifrons,1,Aripeka Sandhills Preserve,US-FL,11 Apr 2017,L1011494,S35882699,,1
156,1573,species,Indian Peafowl,Pavo cristatus,1,Aripeka Sandhills Preserve,US-FL,11 Apr 2017,L1011494,S35882699,P,1
157,7921,species,Swallow-tailed Kite,Elanoides forficatus,1,The Preserves at Fairway Oaks,US-FL,09 Apr 2017,L3036414,S35825510,,1
158,9219,species,Barred Owl,Strix varia,2,Cheswick Park,US-VA,30 Mar 2017,L2823311,S35549449,,1
159,34171,species,Yellow-throated Warbler,Setophaga dominica,1,Camp Skimino (Restricted Access),US-VA,25 Mar 2017,L5612432,S35411790,,1
160,33095,species,American Tree Sparrow,Spizelloides arborea,5,Rocky River Reservation--Nature Center Trails,US-OH,19 Feb 2017,L805099,S34534658,,1
161,12028,species,American Kestrel,Falco sparverius,1,"Wendy Park, Whiskey Island",US-OH,17 Feb 2017,L284586,S34639949,,1
162,770,species,Red-breasted Merganser,Mergus serrator,3,"Wendy Park, Whiskey Island",US-OH,17 Feb 2017,L284586,S34639949,,1
163,762,species,Common Merganser,Mergus merganser,4,Lakefront Reservation--Edgewater Park,US-OH,17 Feb 2017,L358766,S34639778,,1
164,743,species,Common Goldeneye,Bucephala clangula,2,Lakefront Reservation--Edgewater Park,US-OH,17 Feb 2017,L358766,S34639778,,1
165,694,species,Greater Scaup,Aythya marila,1,Lakefront Reservation--Edgewater Park,US-OH,17 Feb 2017,L358766,S34639778,,1
166,6576,species,Lesser Black-backed Gull,Larus fuscus,5,Brown's Island,US-VA,02 Feb 2017,L619779,S34139687,,1
167,6566,species,Glaucous Gull,Larus hyperboreus,1,Brown's Island,US-VA,02 Feb 2017,L619779,S34139687,,1
168,6562,species,Great Black-backed Gull,Larus marinus,20,Brown's Island,US-VA,02 Feb 2017,L619779,S34139687,,1
169,6539,species,American Herring Gull,Larus smithsonianus,,Brown's Island,US-VA,02 Feb 2017,L619779,S34139687,,1
170,34621,species,Painted Bunting,Passerina ciris,1,James River Park--Belle Isle,US-VA,02 Feb 2017,L618942,S34119885,,1
171,667,species,Redhead,Aythya americana,1,Mid-Lothian Mines Park--Loch Lothian,US-VA,28 Jan 2017,L2462917,S34017426,,1
172,594,species,Northern Pintail,Anas acuta,,Dutch Gap Conservation Area/Henricus Historical Park,US-VA,28 Jan 2017,L207180,S34017151,,1
174,267,species,Snow Goose,Anser caerulescens,,Turkey Island Road,US-VA,28 Jan 2017,L2438994,S34016554,,1
178,3594,species,Chuck-will's-widow,Antrostomus carolinensis,1,Camp T. Brady Saunders (Restricted Access),US-VA,14 May 2016,L4605450,S29686563,,1
179,33962,species,Black-and-white Warbler,Mniotilta varia,1,Echo Lake Corner 1,US-VA,02 May 2016,L4556911,S29361469,,1
180,7533,species,Roseate Spoonbill,Platalea ajaja,1,Anclote Key Preserve SP--North end of Anclote Key,US-FL,21 Aug 2015,L687592,S24713550,,1
181,5941,species,Snowy Plover,Anarhynchus nivosus,5,Anclote Key Preserve SP--North end of Anclote Key,US-FL,21 Aug 2015,L687592,S24713550,,1
182,6154,species,Greater Yellowlegs,Tringa melanoleuca,1,Glen Allen High School,US-VA,04 Jun 2015,L2751529,S23848012,,1
183,34087,species,Northern Yellow Warbler,Setophaga aestiva,1,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
184,33848,species,Rusty Blackbird,Euphagus carolinus,15,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
185,33770,species,Baltimore Oriole,Icterus galbula,2,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
186,24051,species,Bank Swallow,Riparia riparia,5,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
187,22065,species,Black-capped Chickadee,Poecile atricapillus,5,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
188,6145,species,Lesser Yellowlegs,Tringa flavipes,3,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
189,501,species,Northern Shoveler,Spatula clypeata,4,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
190,455,species,Wood Duck,Aix sponsa,4,Sandy Ridge Reservation,US-OH,02 May 2015,L213276,S23234536,,1
191,27295,species,Winter Wren,Troglodytes hiemalis,2,Cheswick Park,US-VA,05 Apr 2015,L2823311,S22709310,,1
192,21624,species,Common Raven,Corvus corax,2,Cat Heaven,US-VA,25 Mar 2015,L2691232,S22515164,,1
193,8256,species,Sharp-shinned Hawk,Accipiter striatus,1,Museum of the Confederacy,US-VA,07 Feb 2015,L3355713,S21782530,,1
194,33973,species,Orange-crowned Warbler,Leiothlypis celata,25,Cat Heaven,US-VA,14 Jan 2015,L2691232,S21491385,,1
195,26937,species,Red-breasted Nuthatch,Sitta canadensis,3,Cat Heaven,US-VA,02 Dec 2014,L2691232,S20760063,,1
196,6866,species,Horned Grebe,Podiceps auritus,1,West Creek Lakes,US-VA,22 Nov 2014,L1209885,S20639233,,1
197,742,species,Bufflehead,Bucephala albeola,30,West Creek Lakes,US-VA,22 Nov 2014,L1209885,S20639233,,1
198,11126,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Cat Heaven,US-VA,16 Nov 2014,L2691232,S20574151,,1
199,27026,species,Brown Creeper,Certhia americana,1,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
200,6855,species,Pied-billed Grebe,Podilymbus podiceps,50,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
201,6521,species,Ring-billed Gull,Larus delawarensis,3,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
202,5500,species,American Coot,Fulica americana,100,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
203,778,species,Ruddy Duck,Oxyura jamaicensis,40,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
204,612,species,Green-winged Teal,Anas crecca,3,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
205,505,species,Gadwall,Mareca strepera,10,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
206,32595,species,Pine Siskin,Spinus pinus,1,Cat Heaven,US-VA,09 Nov 2014,L2691232,S20495682,,1
207,32324,species,Purple Finch,Haemorhous purpureus,1,Cat Heaven,US-VA,09 Nov 2014,L2691232,S20495682,,1
209,673,species,Ring-necked Duck,Aythya collaris,10,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
210,517,species,American Wigeon,Mareca americana,30,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
211,485,species,Blue-winged Teal,Spatula discors,20,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
212,33946,species,Ovenbird,Seiurus aurocapilla,1,Cat Heaven,US-VA,23 Sep 2014,L2691232,S19977863,,1
213,26932,species,Brown-headed Nuthatch,Sitta pusilla,1,Cat Heaven,US-VA,13 Sep 2014,L2691232,S19818367,,1
214,33981,species,Nashville Warbler,Leiothlypis ruficapilla,1,Cat Heaven,US-VA,09 Sep 2014,L2691232,S19782852,,1
215,10306,species,Belted Kingfisher,Megaceryle alcyon,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
216,7634,species,Reddish Egret,Egretta rufescens,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
217,7630,species,Tricolored Heron,Egretta tricolor,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
218,6775,species,Sandwich Tern,Thalasseus sandvicensis,,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
219,6725,species,Black Tern,Chlidonias niger,20,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
220,6699,species,Least Tern,Sternula antillarum,70,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
221,6622,species,Black Skimmer,Rynchops niger,100,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
223,6232,species,Semipalmated Sandpiper,Calidris pusilla,8,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
224,6231,species,Western Sandpiper,Calidris mauri,20,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
225,6226,species,Least Sandpiper,Calidris minutilla,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
226,6189,species,Sanderling,Calidris alba,50,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
